Frage;Wahl_A;Wahl_B;Wahl_C;Wahl_D;Wahl_E;Antwort;Module;Language;Tags;Year;Answer Verfication;Expanded Date Info;Notes;Explanation;Entry ID;
"(IMAGE) The figure shows five growth curves, indicated by the letters ""A"" - ""E"". Each of these corresponds to an expected growth curve of an <em><em>E. coli</em></em> culture if certain antibiotics were added to the culture. The arrow indicates when antibiotics were added to the growing culture. Chloramphenicol treatment would produce which of the following growth curves?<br><img src=""paste-938a1ccc3bf326c1520d8c2ade02ba6f1efd8fd2.png"">";A;B;C;D;E;E;Methodology II;EN;;Unknown;Unverified;;Image-based;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3515;
"(IMAGE) The figure shows five growth curves, indicated by the letters ""A"" - ""E"". Each of these corresponds to an expected growth curve of an <em>E. coli</em> culture if certain antibiotics were added to the culture. The arrow indicates when antibiotics were added to the growing culture. Sulphanilamide treatment would produce which of the following growth curves?<br><img src=""paste-938a1ccc3bf326c1520d8c2ade02ba6f1efd8fd2.png"">";A;B;C;D;E;E;Methodology II;EN;;Unknown;Unverified;;Image-based;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3516;
All of the following are typical electrocardiographs of digitalis glycosides, except:;Inversion of the T wave;ST segment depression;Abbreviation of the QT interval;Prolongation of the PR interval;Enlargement of the QRS complex;Enlargement of the QRS complex;Methodology II;EN;;Unknown;Unverified;;null;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3517;
All of the following ratios between orthopaedic disorders and the most frequent age group affected are correct, except:;Epiphysiolysis ‚ obese male from 9 to 15 years;Idiopathic scoliosis ‚Üí female from 10 to 16 years;Osgood-Schlatter disease ‚Üí Female from 6 months to 2 years;Legg-Calve'-Perthes disease ‚Üí Male from 3 to 10 years;Radial head subluxation ‚Üí 1 to 4 years;Epiphysiolysis ‚Üí obese male from 9 to 15 years;Methodology II;EN;;Unknown;Unverified;;A or C<br><br>Epiphysiolysis is another name for a Salter-Harris fracture, which is present in children but doesn't seem to be related to obesity.<br>Osgood-Shlatter disease affects mainly males aged 10-15.<br><br>;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3518;
"A 35-year-old man with recurrent, active genital herpes develops multiple erythematous macules, papules, and vesicles. The hands, feet and face are the most affected parts. A careful observation shows that many of the injuries have a ""target"" appearance. Some lesions affect the lips and buccal mucosa. Which of the following is the most likely diagnosis?";Pemphigus;Erythema nodosum;Erythema multiforme;Granuloma annulare;Toxic epidermal necrolysis;Erythema multiforme;Methodology II;EN;;Unknown;Unverified;;null;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3519;
Choose the most appropriate antibiotic to treat patients with <em>Chlamydia trachomatis</em> infection.;Cephalothin;Penicillin;Ampicillin;Erythomycin;Gentamicin;Erythomycin;Methodology II;EN;;Unknown;Unverified;;"D<br><br>Ideally single dose azithromycin or two doses of doxycycline.<br><br>Alternatively erythromycin.<br><br><a href=""https://www.cdc.gov/std/tg2015/chlamydia.htm"">https://www.cdc.gov/std/tg2015/chlamydia.htm</a>";"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3520;
Which of the following drugs can be used in pregnancy to treat chlamydial infections?;Sulfonamides;Tetracycline;Erythromycin;Azithromycin;Deoxycycline;Erythromycin;Methodology II;EN;;Unknown;Unverified;;null;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3521;
What is the cause of suppurative cholangitis?;Bilirubin production increased relative to excretory capacity;Poor uptake by hepatocytes;Extrahepatic obstruction;Poor conjugation;Lack of hepatic secretion;Extrahepatic obstruction;Methodology II;EN;;Unknown;Unverified;;null;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3522;
A 19-year-old boy suffers severe trauma to the lower extremities with a fractured femur and crush trauma to the foot. It requires a vascular reconstruction of the popliteal artery. The day after the surgery he becomes dyspnoic and hypoxemic and requires incubation and mechanical ventilation. Which of the following is the most likely aetiology of this decompensation?;Pneumonia;Atelectasis;Aspiration;Fluid overload;Fat embolism syndrome;Fat embolism syndrome;Methodology II;EN;;Unknown;Unverified;;null;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3523;
Choose the auscultatory finding most characteristic of the atrial septal defect.;Diastolic murmur;Holosystolic murmur;Election systolic murmur;Continuous breath of the locomotive;Fixed split of S2;Fixed split of S2;Methodology II;EN;;Unknown;Unverified;;"E<br><br><a href=""https://www.med.ucla.edu/wilkes/ASDMain.htm"">https://www.med.ucla.edu/wilkes/ASDMain.htm</a>";"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3524;
In Echocardiography, colour Doppler mode can be used to study:;Flow of blood throughout the valves;Flow of air throughout the bronchi;Movement of the heart walls;Blood oxygenation;Wahl E;Flow of blood throughout the valves;Methodology II;EN;;Unknown;Unverified;;null;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3525;
Which of the following blood components is associated with the highest incidence of serum hepatitis transmission?;Albumin;Cryoprecipitate;Platelet concentrate;Fresh frozen plasma;Factor IX concentrate;Fresh frozen plasma;Methodology II;EN;;Unknown;Unverified;;D ?&nbsp,;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3526;
Which of the following conditions is a recessive autonomic disease?;Achondroplasia;Friedreich's ataxia;Lesch-Nyhan syndrome;Wiskott-Aldrich syndrome;Duchenne muscular dystrophy;Friedreich's ataxia;Methodology II;EN;;Unknown;Unverified;;null;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3527;
During what period is the product of conception most susceptible to environmental factors that could cause non-lethal congenital malformations?;In the third. Month of foetal life;In the third trimester of foetal life;From the fourth to the eighth week of foetal life;During the second and third week of foetal life;From fertilisation to the first week of foetal life;From the fourth to the eighth week of foetal life;Methodology II;EN;;Unknown;Unverified;;C?;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3528;
Which of the following is the main excitatory neurotransmitter in the central nervous system?;Glycine;Aspartate;Acetylcholine;Glutamate;GABA (gamma amino butyric acid);GABA (gamma amino butyric acid);Methodology II;EN;;Unknown;Unverified;;null;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3529;
Where would a lesion that produces partial or total blindness but spares the pupillary reflex in light be most likely located?;Optical stretch;Optic nerve;Optic chiasm;Pre-tectal area;Geniculocalcrine tract;Geniculocalcrine tract;Methodology II;EN;;Unknown;Unverified;;null;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3530;
The feeling of hunger is mainly regulated by:;Thyroxine and triiodothyronine;Calcitonin and parathyroid hormone;Ghrelin and leptin;Gastrin and gastric acidity;Cortisol and aldosterone;Ghrelin and leptin;Methodology II;EN;;Unknown;Unverified;;null;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3531;
Which of the following outside the bones is most likely to contain osteoclasts?;Osteosarcoma;Osteochondroma;Chondrosarcoma;Osteoid osteoma;Giant cell tumour;Giant cell tumour;Methodology II;EN;;Unknown;Unverified;;"E?<br><br>A Osteosarcomas may exhibit multinucleated osteoclast-like giant cells.<br>B<br>C<br>D An <b>osteoid osteoma</b> is a benign (non-cancerous) bone tumor that arises from <a href=""https://en.wikipedia.org/wiki/Osteoblast"">osteoblasts</a> and some components of osteoclasts. It was originally thought to be a smaller version of an <a href=""https://en.wikipedia.org/wiki/Osteoblastoma"">osteoblastoma</a>.<br>E They are derived from an osteoclast-monocyte lineage determined primarily by expression of <em><a href=""https://en.wikipedia.org/wiki/CD68"">CD68</a></em>, a marker for monocytic precursor cells. Also called osteoclastoma...";"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3532;
Tophi within joints are a unique symptom of:;Hypercholesterolemia;Osteoarthritis;Gout;Rheumatoid arthritis;Psoriatic arthritis;Gout;Methodology II;EN;;Unknown;Unverified;;null;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3533;
Haemochromatosis is associated with all of the following clinical manifestations, except:;Gout;Cirrhosis;Cardiomyopathy;Diabetes mellitus;Deficit of gonadotropins;Gout;Methodology II;EN;;Unknown;Unverified;;null;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3534;
Which of the following endocrinologically active ovarian cancers is most frequently associated with precocious puberty in women?;Teratoma;Fibrotecoma;Dysgerminoma;Ginandroblastoma;Granulosa-theca cell tumour;Granulosa-theca cell tumour;Methodology II;EN;;Unknown;Unverified;;null;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3535;
Diarrhoea is defined as:;Greater than 300g of stool produced per day;At least 10 bowel movements / day;&gt,2 bowel movements per day for one week;2-3 bowel movements per day associated with weight loss;Black stools;Greater than 300g of stool produced per day;Methodology II;EN;;Unknown;Unverified;;null;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3536;
In exudative pleurisy the share of proteins in the pleural fluid is:;Greater than 10g / dl;Absent;Greater than 3g / dl;Less than 1g / dl;Between 1 and 5 g / dl;Greater than 3g / dl;Methodology II;EN;;Unknown;Unverified;;null;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3537;
The Waaler-Rose reaction is a laboratory test characterised by?;Co-agglutination;Haemagglutination;Slide agglutination;Enzyme immunoassay;Agglutination on latex particles;Haemagglutination;Methodology II;EN;;Unknown;Unverified;;null;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3538;
A 35-year-old man comes to the emergency room because he has developed severe hives. He has never had it before. Ali'E.O. several wheals and erythematous patches are noted on his body, which respond to subcutaneous epinephrine. The patient's skis are slightly yellowish. Thoracic and abdominal objectivity are normal. Blood chemistry tests show: AST 350 U / L, ALT 300 U / L. Which of the following is the most likely diagnosis?;Hepatitis A;Hepatitis B;Haemochromatosis;Alcoholic cirrhosis;Alpha1-antitrypsin deficiency;Haemochromatosis;Methodology II;EN;;Unknown;Unverified;;C?A OR B;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3539;
For the alpha fetoprotein tumour marker, choose the type of cancer for which the test is pathognomonic.;Lymphoma;Colon cancer;Prostate Cancer;Osteogenic sarcoma;HCC;HCC;Methodology II;EN;;Unknown;Unverified;;null;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3540;
A very anxious 25-year-old man complains of severe pain in the lower right quadrant of the abdomen which improves considerably after administration of physiological solution via the venous route. Which of the following statements is indicative of this clinical picture?;He was dehydrated;Pain is psychogenic;He has a fictitious disease;He is responding to a placebo;He has histrionic personality disorder;He is responding to a placebo;Methodology II;EN;;Unknown;Unverified;;null;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3541;
A 72-year-old man with no past history of disease dies suddenly on the sixth day of hospitalization, after surgery for hip replacement. The autopsy reveals the presence of a large infarction. In which of the following organs is the infarction more likely to have been found?;Kidney;Heart;Liver;Brain;Lung;Heart;Methodology II;EN;;Unknown;Unverified;;B OR D;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3542;
A seven-year-old boy is seen in the emergency room for pain and discharge from his left ear. On examination the patient was feverish with neck stiffness and positive Kernig's sign. Gram positive cocci were detected in the Gram stained secretion. Which of the following is the most likely responsible pathogen?;Staphylococcus aureus;Viridian's streptococcus;Hemophilus influenzae;Staphylococcus epidermis;Streptococcus pneumoniae;Hemophilus influenzae;Methodology II;EN;;Unknown;Unverified;;C<br><br>Neck stiffness + Kernig's are indicative of meningitis. In children, meningitis is caused by <em>Hemophilus influenzae</em> or <em>Neisseria meningtidis</em>&nbsp,;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3543;
All of the following drugs cross the placenta except:;Heparin;Morphine;Aspirin;Phenytoin;Diazepam;Heparin;Methodology II;EN;;Unknown;Unverified;;"A.<br><br>Heparin has a significantly higher molecular weight: it is a polymer of sulphated disaccharides.<br><br>All the other drugs on this list include benzene rings, for example.<br><br><img src=""paste-efa33c8c00b278bde588dc335766261d915e02a3.png""><img src=""paste-a56683b008c5503fdf9dd174b509ab4e70d99cb4.png""><img src=""paste-c3416607517f597d34d58f6c3356e9399424b807.png"">";"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3544;
Vitamin B12 acts as a co-enzyme of which of the following enzymes?;Exokinase;Glycogen synthesis;G6P dehydrogenase;Homocysteine ‚Äã‚Äãmethyl transferase;E;Homocysteine ‚Äã‚Äãmethyl transferase;Methodology II;EN;;Unknown;Unverified;;null;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3545;
Which of the following risk factors must NOT be carefully investigated during the history collection of a patient with suspected BREAST CANCER?;Presence of a family history of breast cancer;Previous pregnancies;Age of menarche;HPV infections;Wahl E;HPV infections;Methodology II;EN;;Unknown;Unverified;;null;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3546;
Which of the following agents is the one most frequently associated with cervical cancer?;HPV6;HPV11;HPV16;HPV33;HPV35;HPV16;Methodology II;EN;;Unknown;Unverified;;C<br><br>HPV16 and HPV18 cause 70% of cervical cancers.;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3547;
Some diseases are associated with an immune dysfunction step (humoral, cellular or both). DiGeorge syndrome is usually associated with which of the following?;humoral response normal, cellular response normal;humoral response normal, cellular response deficient;humoral response deficient, cellular response normal;humoral response deficient, cellular response deficient;humoral response increased, cellular response increased;humoral response normal, cellular response deficient;Methodology II;EN;;Unknown;Unverified;;B<br><br>T-cell mediated immune response does not function as patients with DiGeorge syndrome often have an underdeveloped thymus.;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3548;
A 31-year-old man is taken by helicopter to the trauma center following a motorcycle accident in which he suffered massive crush damage to his lower extremities. The patient is awake and alert but has severe pain. His blood pressure is 180/80 mmHg and his pulse is 110 bpm. There is a conspicuous loss of blood from the lesions. Urgent electrolyte tests will most likely show what alteration?;Hypoglycema;Hypocalcemia;Hyperkalemia;Hypernatremia;Hypophosphataemia;Hyperkalemia;Methodology II;EN;;Unknown;Unverified;;C+E;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3549;
All of the following are characteristic of WIlms tumor, except:;Hypertension;Tendency to lung metastases;Less than 5% 5-year survival;Unilateral palpable abdominal mass;Associated with chromosome 11 abnormalities;Hypertension;Methodology II;EN;;Unknown;Unverified;;"A<br>B<br>C - Wilms is highly treatable! 5 year survival believed to be 90%.<br>D<br>E - Beckwith-Weidemann syndorme<br><br><a href=""https://clincancerres.aacrjournals.org/content/13/22/6593.long#ref-3"">https://clincancerres.aacrjournals.org/content/13/22/6593.long#ref-3</a>";"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3550;
Choose the symptom group which is most characteristically associated with hyperaldosteronism.;Hirsutism and virilisation in a female;Osteoporosis, central obesity and lunar facies;Serum hypo-osmolality and urinary hyperosmolality;Hypertension, hypokalaemia and muscle weakness;Polyuria, polydipsia and urine with high specific gravity;Hypertension, hypokalaemia and muscle weakness;Methodology II;EN;;Unknown;Unverified;;"D<br><br><a href=""https://en.wikipedia.org/wiki/Hyperaldosteronism"">https://en.wikipedia.org/wiki/Hyperaldosteronism</a>";"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3551;
Mixed oedema is observed in;Cardiac insufficiency;Hyperthyroidic patients;Deep venous thrombosis;Diabetes;Hyperthyroidic patients;Hyperthyroidic patients;Methodology II;EN;;Unknown;Unverified;;null;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3552;
A seriously ill AIDS patient is admitted to hospital. He has multiple infections, including <em>Pneumocystis carinii</em> pneumonia, CMV lung infection and candidiasis of the oesophagus and possibly other sites. There are blood chemistry tests including an electrolyte study. Which of the following changes most likely be observed?;Hypocalcaemia;Hyponatremia;Hyperkalemia;Hypophosphataemia;Hypermagnesaemia;Hyponatremia;Methodology II;EN;;Unknown;Unverified;;"B<br>Syndrome of inappropriate ADH secretion&nbsp,‚Äî&nbsp,The syndrome of inappropriate ADH secretion (SIADH) is usually due to pneumonia (with <em>Pneumocystis jirovecii</em> [formerly called <em>Pneumocystis carinii</em>] or other organisms), malignancy, or occult or symptomatic infection of the central nervous system [<a href=""https://www.uptodate.com/contents/electrolyte-disturbances-with-hiv-infection/abstract/1-3"">1-3</a>].";"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3553;
Which of the following pathological conditions is not a cause of paralytic ileus:;Acute peritonitis;Hypothyroidism;Thrombosis of the mesenteric arteries;Abdominal trauma;Sequelae of surgical interventions on the abdomen;Hypothyroidism;Methodology II;EN;;Unknown;Unverified;;null;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3554;
The kidneys are palpable;In all cases;If ptosic;If the patient is underweight;If the manoeuvre is accurate;If ptosic or increased in volume;If ptosic or increased in volume;Methodology II;EN;;Unknown;Unverified;;null;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3555;
It promotes various biological actions associated with inflammation;IFN-gamma;IL-2;IL-4;TNF-alpha;TGF-beta;IFN-gamma;Methodology II;EN;;Unknown;Unverified;;A OR D;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3556;
Which of the following is the immunoglobulin that passes the placental barrier in humans?;IgA;IgD;IgE;IgG;IgM;IgG;Methodology II;EN;;Unknown;Unverified;;;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3557;
A 19-year-old college student develops a rash. He works part-time in a pediatric AIDS clinic. A sample and a test for specific antibodies against chickenpox (varicella-zoster) is done. Which of the following classes of antibodies would you expect to find was immune to chickenpox?;IgG;IgA;IgM;IgD;IgE;IgM;Methodology II;EN;;Unknown;Unverified;;"C<br><br><a href=""https://www.cdc.gov/chickenpox/lab-testing/lab-tests.html"">https://www.cdc.gov/chickenpox/lab-testing/lab-tests.html</a>";"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3558;
Antagonises or suppresses many lymphocyte responses;IFN-gamma;IL-2;IL-4;TNF-alpha;TGF-beta;IL-2;Methodology II;EN;;Unknown;Unverified;;null;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3559;
It works as a promoter of T helper 2 (Th2) development and IgE synthesis;IFN-gamma;IL-2;IL-4;TNF-alpha;TGF-beta;IL-4;Methodology II;EN;;Unknown;Unverified;;null;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3560;
Which cytokine promotes the proliferation of T and B lymphocytes?;IFNγ;IL-2;IL-4;TNFα;TGFβ;IL-4;Methodology II;EN;;Unknown;Unverified;;null;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3561;
A 5-year-old girl suffered numerous fractures. A blue sclera, hearing impairment and alteration of the shape of the teeth are also found. Which of the following is the most likely cause of these findings?;Impaired synthesis of type I collagen;An inability to metabolise vitamin D;The kidney's inability to store phosphorus;Alteration of intestinal calcium receptors;Inadequate mineralisation of the bone matrix;Impaired synthesis of type I collagen;Methodology II;EN;;Unknown;Unverified;;null;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3562;
A 13-year-old girl comes to the emergency room complaining of abdominal pain. The medical history indicates that she has complained of periodic pain for the past 6 months. She has not yet had menarche. On physical examination, a tense swelling is noted in the hymen region. Which of the following is the most likely diagnosis?;Delayed puberty;Imperforate hymen;Asherman's syndrome;Congenital hyperplasia of the adrenal gland;Mayer-Rokitansky-Kuster-Hauser syndrome;Imperforate hymen;Methodology II;EN;;Unknown;Unverified;;null;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3563;
Muscular paralysis is defined as;Inability to carry out voluntary muscular movement;Extreme difficulty following voluntary movements;Incoordination following voluntary movements;Inability to follow voluntary movement;Pain upon voluntary contraction of muscles;Inability to follow voluntary movement;Methodology II;EN;;Unknown;Unverified;;null;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3564;
What mechanisms are behind syncope;Shock;Inadequate supply of mineral salts;Inadequate cerebral perfusion;All of the above;None of the above;Inadequate cerebral perfusion;Methodology II;EN;;Unknown;Unverified;;null;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3565;
In cases of pleural thickening, tactile and vocal fremitus is;Absent;Reduced;Increased;Unchanged;Absent when the patient is stood upright;Increased;Methodology II;EN;;Unknown;Unverified;;null;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3566;
The oxygen dissociation curve of adult normal hemoglobin is shifted to the right by which of the following conditions?;Increase in pH;Decrease in CO<sub>2</sub>;Increased 2,3-bisphosphoglycerate;Cooperative binding of oxygen;Mixing it with fetal hemoglobin;Increased 2,3-bisphosphoglycerate;Methodology II;EN;;Unknown;Unverified;;null;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3567;
In the course of chronic fasting, one would expect to find all of the following changes except:;Development of ketones;Increased blood sugar levels;Increase in glucagon levels;Reduction in basal metabolic rate;Depletion of glycogen stores;Increased blood sugar levels;Methodology II;EN;;Unknown;Unverified;;null;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3568;
Which of the following statements regarding somatomedin is correct?;Increases chondrogenesis;Its activity is increased by glucocorticoids;It reduces the oxidation of glucose in adipocytes;It decreases the transport of amino acids into the muscle;Its activity is increased in conditions of protein deficiency;Increases chondrogenesis;Methodology II;EN;;Unknown;Unverified;;null;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3569;
A 22-year-old boy notes the presence of a swelling in his right groin. It is accentuated when coughing but is easily reduced. Which of the following hernias follows the path of the spermatic cord within the cremasteric muscle?;Femoral;By Spigelio;Interparietal;Direct inguinal;Indirect inguinal;Indirect inguinal;Methodology II;EN;;Unknown;Unverified;;null;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3570;
Choose the disease or condition which is most characteristically associated with parvovirus:;Myocarditis;Bronchiolitis;Hemorrhagic cystitis;Vesicular rash;Infectious erythema (megaloerythema);Infectious erythema (megaloerythema);Methodology II;EN;;Unknown;Unverified;;E<br><br>Parvovirus B19 causes Fifth disease, also called erythema infectosium;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3571;
"All of the following represent causes of aseptic meningitis. Which of the following diseases is associated with a ""slow virus""?";Poliovirus;Leptospirosis;Infectious hepatitis of Creutzfeld-Jakob disease;Meningeal carcinomatosis;E;Infectious hepatitis of Creutzfeld-Jakob disease;Methodology II;EN;;Unknown;Unverified;;C?;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3572;
Clinical findings associated with Marfan syndrome include all of the following except:;Arachnodactyly;Mitral valve prolapse;Dilation of the aortic root;Family history of the syndrome;Inferior subluxation of the lens;Inferior subluxation of the lens;Methodology II;EN;;Unknown;Unverified;;"E<br><br>Subluxation of the lens can be seen in Marfan syndrome - but it is not inferior.<br><br><a href=""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4181168/"">https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4181168/</a>";"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3573;
Which of the following substances acts by increasing the release of Ca<sup>2+</sup> from the endoplasmic reticulum?;PTH;Diacylglycerol;Tyrosine kinase;Inositol-triphosphate;1.25 dihydroxy cholecalciferol;Inositol-triphosphate;Methodology II;EN;;Unknown;Unverified;;"D<br><br><a href=""https://pgblazer.com/biochemistry-mcq-82-factors-influencing-release-of-ca2-from-endoplasmic-reticulum/"">https://pgblazer.com/biochemistry-mcq-82-factors-influencing-release-of-ca2-from-endoplasmic-reticulum/</a>";"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3574;
Among the pathological noises that can be heard on the chest, wheezing is mainly:;Inspiratory;Expirators;Inspiratory and expiratory;Detectable only after expectoration;None of the above;Inspiratory and expiratory;Methodology II;EN;;Unknown;Unverified;;null;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3575;
The anterior choroidal artery is a branch of which of the following vessels?;Internal carotid artery;Anterior cerebral artery;Posterior cerebral artery;Anterior communicating artery;Posterior communicating artery;Internal carotid artery;Methodology II;EN;;Unknown;Unverified;;null;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3576;
"A 3 week old infant is taken to the emergency room for 2 days of protracted biliary vomiting. He appears in serious condition and the X-ray shows two hydro-air levels in the upper abdomen, the larger one on the left side and a smaller one on the right. The radiologist describes it as the sign of the ""double bubble"". He also reports the presence of intraluminary gas distal to those two levels, but which is dispersed and does not underline extended loops. Which of the following is the most likely clinical diagnosis?";Malrotation;Ileus from meconium;Intestinal atresia;Necrotizing enterocolitis;Hypertrophic stenosis of the pylorus;Intestinal atresia;Methodology II;EN;;Unknown;Unverified;;"C, duodenal atresia is the most common cause of this radiologic finding, and fits with the initial presentation of biliary vomiting.<br><img src=""DuodAtres.png"">";"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3577;
Pain and abdominal distension, increasing with peristalsis, vomiting, and the intestinal canal blocked to faeces and gas are symptoms characteristic of:;Intestinal occlusion;Peritonitis;Pancreatitis;Cholecystitis;All of the above are correct;Intestinal occlusion;Methodology II;EN;;Unknown;Unverified;;null;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3578;
Wheezing:;Is the inability to pronounce S and Z sounds;Is a way of defining asthma;Is synonymous with snoring;Is a high-pitched pathological noise due to partial obstruction of the airways;Is a physiological response to low humidity;Is a high-pitched pathological noise due to partial obstruction of the airways;Methodology II;EN;;Unknown;Unverified;;null;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3579;
Haematemesis;Is an emergency;Is often accompanied by melaena;Suggests a pathology of the small intestine;Suggests a pathology of the colon;Is indicative of oesophageal cancer;Is an emergency;Methodology II;EN;;Unknown;Unverified;;null;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3580;
Haemoftoe;Is a type of vomit;Is a type of cough;Is a type of dyspnea;Is blood-streaked sputum;None of the above;Is blood-streaked sputum;Methodology II;EN;;Unknown;Unverified;;D<br><br>This word does not exist in English, it is a mistranslation of <em>emoftoe </em>which is Italian for bloody sputum.<br><br>In Italian, a distinction is made between coughing up bloody sputum (<em>emoftoe</em>) and coughing up blood (<em>emottisi</em>).<br>In English, haemoptysis is used to describe both.;"This question doesn't have an explanation yet. Feel free to suggest one using the ""Report a question"" button.";FII-LM41-3581;
